PAÍS,CÓDIGOS PAÍS,Health_EXP,ACCES_BAS_AGUA,ANEMIA,MORTAND,TECLIMP,DESNUT
Afghanistan,AFG,3.05628788,64.0548831,43.9,6.575,30.9,23
Albania,ALB,115.21235199,93.75487823,26.9,7.714,79.8,4.1
Algeria,DZA,176.50280955,93.62277749,34,4.717,99.6,2.7
Andorra,AND,1631.38665557,99.99999506,13.2,,100,
Angola,AGO,41.98650334,55.08427644,61.9,8.432,49.1,15.4
Antigua and Barbuda,ATG,434.76428894,96.73918628,17.6,6.316,100,
Argentina,ARG,716.4738335,99.0238575,18.3,7.616,99.8,3.1
Armenia,ARM,58.81064273,99.56094081,19.1,9.862,98,3.1
Australia,AUS,3422.32282687,99.96997302,12.1,6.5,100,2.5
Austria,AUT,3408.04957304,100,13.5,9.5,100,2.5
Azerbaijan,AZE,45.24860304,93.18356464,25.7,5.8,96.6,2.5
"Bahamas, The",BHS,863.1836909,98.8869605,17.6,6.72,100,
Bahrain,BHR,674.32101943,100,22.7,2.368,100,
Bangladesh,BGD,5.67698142,97.22961308,43.5,5.533,21.9,12.5
Barbados,BRB,532.48754886,98.48444616,20.6,8.936,100,4.3
Belarus,BLR,211.84821094,96.48867563,17.1,12.6,99.5,2.5
Belgium,BEL,3501.82486906,100.0000013,16.4,9.6,100,2.5
Belize,BLZ,203.71819761,97.58453956,21,4.681,82.4,6.7
Benin,BEN,6.25092677,64.92204449,71.9,9.025,4.2,7.2
Bhutan,BTN,73.14326558,96.83756512,46.4,6.243,78.3,
Bolivia,BOL,136.27885551,91.06696927,42,6.795,85,12.5
Bosnia and Herzegovina,BIH,327.53072247,96.15126178,23.4,10.563,44.7,2.5
Botswana,BWA,267.95357384,89.40444271,42.5,5.834,63.8,28.9
Brazil,BRA,343.91138183,97.95583878,13,6.378,95.8,2.5
Brunei Darussalam,BRN,657.57367399,99.90002801,18.2,4.345,100,2.5
Bulgaria,BGR,310.03733992,99.15790041,23.6,15.5,,3.1
Burkina Faso,BFA,16.42737716,49.54416459,81.6,8.341,9.5,12.4
Burundi,BDI,5.39600836,60.20415097,54.7,8.106,0.2,
Cabo Verde,CPV,96.4463752,86.34735905,46.7,5.682,78.9,16.7
Cambodia,KHM,16.93399564,69.08113407,50.9,6.017,28.9,7.7
Cameroon,CMR,5.17153014,64.33898773,61.5,9.501,22.1,5.6
Canada,CAN,3224.5060744,99.22739547,11.8,7.5,100,2.5
Central African Republic,CAF,2.41127521,41.2766431,75.8,12.671,0.700000000000001,46.1
Chad,TCD,5.76351306,44.74869976,70.9,12.309,5.5,29.1
Chile,CHL,581.7443604,99.73718587,19.4,6.076,100,3
China,CHN,229.709797,92.31599823,18.3,7.06,75.6,2.5
Colombia,COL,310.95358516,96.61696481,22.9,5.503,92,7.1
Comoros,COM,7.30735747,80.14885509,53.9,7.298,7.30000000000001,
"Congo, Dem. Rep.",COD,2.59802606,43.35584023,66.9,9.691,3.6,40.2
"Congo, Rep.",COG,24.57038114,72.18665483,63,6.828,31.05,36
Costa Rica,CRI,644.43555529,99.59608945,18.6,5.005,95.3,3.1
Cote d'Ivoire,CIV,17.33338474,71.04239202,74,10.262,28.4,15
Cuba,CUB,882.49759016,96.09701637,19.4,8.827,93.5,2.5
Cyprus,CYP,689.99027301,99.78076077,13.7,6.952,100,2.5
Czech Republic,CZE,1082.12039155,99.88016949,17.5,10.5,100,2.5
Denmark,DNK,4681.91165258,99.99999893,13.8,9.2,100,2.5
Djibouti,DJI,37.26695846,75.83262734,52,7.293,9.3,16.4
Dominica,DMA,269.16919273,95.42065606,29.1,,89.1,5.3
Dominican Republic,DOM,194.01098137,96.37630273,28.5,6.12,90.4,6.4
Ecuador,ECU,267.61888037,93.76941497,23.8,5.101,94.5,10.7
"Egypt, Arab Rep.",EGY,47.37620217,99.18797298,33.5,5.863,99.9,4.9
El Salvador,SLV,189.06350953,96.57988846,24.7,7.011,89.4,9.1
Equatorial Guinea,GNQ,64.24285554,64.4255207,66.3,9.542,24.1,
Eritrea,ERI,4.72182617,51.84972018,48.7,7.326,9.10000000000001,
Estonia,EST,894.72911438,99.53615906,17.7,11.8,100,2.5
Eswatini,SWZ,97.48945025,67.58835188,42.6,9.843,52.4,12.4
Ethiopia,ETH,6.26851668,43.60707813,50.9,6.691,6.19999999999999,14
Fiji,FJI,118.4408061,94.26044941,39.9,8.18,46.7,6.3
Finland,FIN,3196.66439938,99.99999556,10.8,9.8,100,2.5
France,FRA,3198.44076509,100,13.1,9.1,100,2.5
Gabon,GAB,140.42562596,84.20854944,60.1,6.998,87.4,16
"Gambia, The",GMB,8.90946057,79.55916761,61.2,8.044,1.8,11.9
Georgia,GEO,110.48717408,96.44757681,23.7,12.918,85.8,8.3
Germany,DEU,3666.12057286,99.99999762,13.5,11.3,100,2.5
Ghana,GHA,25.64308184,81.27978114,64.1,7.414,22.2,7.1
Greece,GRC,775.67285061,99.9999977,15.8,11.6,100,2.5
Grenada,GRD,169.98492355,95.62865044,23.6,9.563,89.9,
Guatemala,GTM,91.12022206,92.4944136,11.8,4.762,46.95,16.3
Guinea-Bissau,GNB,3.38534346,58.84309091,70.4,9.805,1.2,
Guinea,GIN,4.86054411,63.71828612,75.6,8.715,1.4,
Guyana,GUY,147.13875481,95.53634959,31,7.365,77.9,6
Haiti,HTI,6.51630312,65.02301688,61.7,8.638,4.3,48
Honduras,HND,72.02622585,93.75471605,28.4,4.428,47.2,13.2
Hungary,HUN,619.01030946,99.97080712,18.1,13.5,100,2.5
Iceland,ISL,4130.94591847,100.0000017,10.1,6.5,100,2.5
India,IND,16.26476444,88.61740577,55,7.21,59.8,13.8
Indonesia,IDN,49.00949981,89.32043532,37.8,6.433,78.7,6.4
"Iran, Islamic Rep.",IRN,231.92481364,96.94934902,26.8,4.835,96.5,5.2
Iraq,IRQ,32.71926967,95.13617253,28.3,4.826,98.8,37.9
Ireland,IRL,3424.568101,97.38347989,13.2,6.3,100,2.5
Israel,ISR,1784.5686413,99.99999925,13.3,5.2,100,2.5
Italy,ITA,2008.62916292,99.91703407,13.9,10.7,100,2.5
Jamaica,JAM,175.61269794,90.56120731,24.3,7.558,83.9,8.8
Japan,JPN,3508.06775066,98.96183223,16,10.8,100,2.5
Jordan,JOR,144.99306857,98.99387975,31.7,3.843,99.9,7.7
Kazakhstan,KAZ,157.07693126,95.22050548,21.6,7.15,92.9,2.6
Kenya,KEN,31.04303913,58.89260448,40.6,5.582,16,24.6
Kiribati,KIR,117.5471352,74.69890107,50.9,6.396,8.2,3.5
"Korea, Rep.",KOR,1169.90883946,99.56447646,14.2,5.6,100,2.5
Kuwait,KWT,1116.02661377,100,18.8,2.601,100,2.5
Kyrgyz Republic,KGZ,28.00947341,89.04474796,33.5,5.4,76.9,7.7
Lao PDR,LAO,17.78049727,79.59784865,41.4,6.508,7.2,5.6
Latvia,LVA,488.53239027,98.57676426,19.3,14.8,100,2.5
Lebanon,LBN,279.74385785,91.58075057,22,4.263,,6.7
Lesotho,LSO,51.89301051,70.85738563,50.3,14.656,38.7,26
Liberia,LBR,9.88955277,73.15081745,72.7,7.729,0.4,36.6
Lithuania,LTU,650.03190771,97.07374572,17.5,14.2,100,2.5
Luxembourg,LUX,4623.00433733,99.90687145,10.6,7.1,100,2.5
Madagascar,MDG,11.28941048,49.78933803,49.7,6.185,0.900000000000001,42.3
Malawi,MWI,8.58876543,66.94335879,56.8,6.811,1.3,16.5
Malaysia,MYS,185.44413416,97.06169435,22.5,5.014,96.1,3.4
Maldives,MDV,683.87306073,99.11409317,36.3,2.883,98.8,
Mali,MLI,9.43715412,76.04238647,81,9.984,0.900000000000001,6.3
Malta,MLT,1462.9821721,99.99999869,16.1,7.6,100,2.5
Marshall Islands,MHL,242.00258076,88.41369959,40.8,,63.4,
Mauritania,MRT,18.43224393,68.83201748,67.7,7.339,43.3,8.6
Mauritius,MUS,244.03611774,99.86639665,27.9,8,97,5.9
Mexico,MEX,249.02669485,98.45286453,22.2,5.933,84.8,6.1
"Micronesia, Fed. Sts.",FSM,104.84474445,88.30815668,37.2,6.534,12.7,
Moldova,MDA,83.52591214,88.96917224,26.3,11.528,95.6,
Monaco,MCO,2365.16682787,100,13.3,,100,
Mongolia,MNG,96.07394253,81.72957231,20.7,6.299,48.7,6.3
Montenegro,MNE,361.89262,97.6373839,14.5,10.5,61.8,2.5
Morocco,MAR,65.50721199,85.11293354,30.1,5.072,97.9,3.7
Mozambique,MOZ,7.00548446,53.55726711,66.1,8.964,4.6,31.4
Myanmar,MMR,8.10248629,75.56637556,49.6,8.206,26.4,8.1
Namibia,NAM,198.78433792,82.90021701,46.7,8.23,46,20
Nauru,NRU,938.66435359,100,43.7,,100,
Nepal,NPL,8.97753768,88.27710856,44.6,6.404,32.3,4.2
Netherlands,NLD,3112.72483205,100.0000014,14.1,8.8,100,2.5
New Zealand,NZL,2793.13195923,100.0000013,14.1,6.92,100,2.5
Nicaragua,NIC,98.02805693,81.41597396,19,5.049,53.8,17.6
Niger,NER,5.48254453,45.8187016,74.5,8.529,2.1,
Nigeria,NGA,10.33533363,70.54093551,70.9,12.114,10.7,10
North Macedonia,MKD,208.45975082,97.5252827,24.2,9.8,76.8,2.7
Norway,NOR,6400.70000001,100.0000035,12.5,7.7,100,2.5
Oman,OMN,566.15846639,90.68742325,25.6,2.462,100,8.4
Pakistan,PAK,11.76529179,89.59636844,55.4,6.994,46.3,12.1
Palau,PLW,1061.99588152,99.64526892,34.2,10.3,100,
Panama,PAN,688.85115805,93.23054291,18.5,5.048,87.6,7.5
Papua New Guinea,PNG,42.11017144,42.25107578,47.6,7.521,9,25.1
Paraguay,PRY,167.61777984,98.10319856,29.2,5.465,67.4,7.8
Peru,PER,193.3124352,90.86111165,32.5,5.438,81.5,7.6
Philippines,PHL,45.29753107,92.43642247,14.7,5.839,45.4,10.9
Portugal,PRT,1154.66028991,99.90618169,13.4,10.7,100,2.5
Qatar,QAT,1492.26120977,99.62980166,21.9,1.169,100,
Romania,ROU,372.34224337,100,28.1,13.4,87.1,2.5
Russian Federation,RUS,264.75947864,96.61953404,22,12.4,89.2,2.5
Rwanda,RWA,16.63678857,57.92420961,37.5,5.308,1.4,34.5
Samoa,WSM,174.02497765,91.54020945,36.1,5.296,34.6,4.7
San Marino,SMR,2401.8581653,100,12,8.2,100,
Sao Tome and Principe,STP,44.33745195,77.61750204,60.3,4.908,2.69999999999999,11.8
Saudi Arabia,SAU,773.88649951,99.70810151,20.9,3.446,100,3.7
Senegal,SEN,13.56280571,79.86889467,70.8,5.845,25.2,7.9
Serbia,SRB,280.07852757,93.76723065,18.4,14.8,77.3,4
Seychelles,SYC,534.13655988,96.2508915,29.1,7.8,100,
Sierra Leone,SLE,9.7309965,59.03747608,76.2,12.003,0.650000000000001,26.2
Singapore,SGP,1172.31864715,100,12.6,5,100,
Slovak Republic,SVK,940.00844365,99.78751691,22.7,9.9,100,4.5
Slovenia,SVN,1326.77453475,99.5,17.2,9.9,100,2.5
Solomon Islands,SLB,70.47702868,68.54479789,40.2,4.284,8.9,17.6
South Africa,ZAF,263.25000317,92.29629284,39.6,9.498,85.7,5.5
Spain,ESP,1700.64727485,99.92650345,13.6,9.1,100,2.5
Sri Lanka,LKA,65.31818176,90.80674449,24.6,6.554,29.4,5.9
St. Kitts and Nevis,KNA,425.24985655,98.61185413,20.7,,100,
St. Lucia,LCA,203.40609433,96.00804027,21.9,7.16,94.8,
St. Vincent and the Grenadines,VCT,192.38594579,95.1452199,21,9.162,94.7,5.5
Sudan,SDN,39.01167374,60.215884,51.2,7.261,51.3,11.8
Suriname,SUR,217.87826745,96.19545677,26.4,7.277,93.3,8.4
Sweden,SWE,4786.71187504,99.80376396,13.5,9.1,100,2.5
Switzerland,CHE,2925.79361537,100.0000029,12.8,7.9,100,2.5
Tajikistan,TJK,16.05946368,77.62285312,34.6,4.961,80.9,
Tanzania,TZA,15.10728419,54.80740809,57.7,6.622,3.9,24.1
Thailand,THA,170.89178125,99.44567029,24.5,7.559,81.7,7.7
Timor-Leste,TLS,46.35492189,77.52079555,46,6.05,11.5,24
Togo,TGO,7.88492618,64.82759182,73.3,8.568,8.6,21.2
Tonga,TON,124.37019191,98.58597331,34,7.194,79.75,
Trinidad and Tobago,TTO,556.48208205,98.51909247,23.6,8.261,100,6.8
Tunisia,TUN,133.6561934,95.44404588,29.5,6.274,99.8,2.5
Turkmenistan,TKM,78.59692959,98.33812977,31.7,7.057,99.9,3.7
Tuvalu,TUV,423.84029438,100,44.7,,68.9,
Uganda,UGA,5.99604044,49.41834413,53.2,6.769,0.600000000000001,
Ukraine,UKR,75.97784136,93.72407862,24.1,14.5,95,2.5
United Arab Emirates,ARE,953.5337233,99.97133164,19.4,1.429,100,3.2
United Kingdom,GBR,3265.41027922,100.0000015,14.4,9.2,100,2.5
United States,USA,4965.9381477,99.53713865,5.9,8.638,100,2.5
Uruguay,URY,1008.23388115,99.26624962,24.5,9.461,100,2.5
Uzbekistan,UZB,56.30999934,97.68127077,23.7,5,84.3,2.5
Vanuatu,VUT,37.25801879,90.66152629,31.5,5.334,8.3,9.6
"Venezuela, RB",VEN,238.7686882,94.39418015,27,6.814,97.25,22.2
Vietnam,VNM,58.84340106,94.10246596,21.6,6.253,63.3,7.2
Zambia,ZMB,21.96397892,62.16720877,54.4,6.633,11.9,
Zimbabwe,ZWE,26.20058922,64.46896436,40.5,8.044,29.9,
